City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
385,Sur,OM,77.72,clear sky,22.57,59.53,
389,Kavaratti,IN,81.99,broken clouds,10.57,72.64,
390,Luxor,EG,75.2,clear sky,25.7,32.64,
393,Alegria,PH,85.32,broken clouds,9.47,125.58,
400,Ixil,MX,77.0,light rain,21.15,-89.48,
401,Constancia,MX,75.0,clear sky,24.22,-107.19,
406,Itarema,BR,76.96,overcast clouds,-2.92,-39.92,
410,Zabid,YE,80.42,clear sky,14.2,43.32,
412,Tura,IN,81.59,clear sky,25.52,90.22,
415,Carupano,VE,78.62,clear sky,10.67,-63.26,
416,Wiang Sa,TH,80.94,light rain,8.64,99.37,
417,Panguna,PG,76.75,moderate rain,-6.32,155.48,
419,Bambous Virieux,MU,75.99,few clouds,-20.34,57.76,
421,Dwarka,IN,83.07,clear sky,22.24,68.97,
433,Yala,TH,85.35,overcast clouds,6.33,101.25,
437,Boa Vista,BR,82.4,scattered clouds,2.82,-60.67,
438,Touros,BR,77.0,few clouds,-5.2,-35.46,
439,Mareeba,AU,90.0,scattered clouds,-17.0,145.43,
442,Natal,BR,78.8,broken clouds,-5.79,-35.21,
443,Palmas,BR,78.8,scattered clouds,-10.21,-48.36,
444,High Rock,BS,81.01,clear sky,26.62,-78.28,
446,Riohacha,CO,77.7,scattered clouds,11.54,-72.91,
449,Saint-Georges,GD,78.8,scattered clouds,12.06,-61.75,
450,Padang,ID,86.31,scattered clouds,-0.95,100.35,
453,Udagamandalam,IN,78.8,mist,11.4,76.7,
455,The Hammocks,US,82.0,broken clouds,25.67,-80.44,
457,Zachary,US,78.01,overcast clouds,30.65,-91.16,
459,Gamut,PH,88.2,moderate rain,8.53,126.24,
460,Belmonte,BR,78.8,light rain,-15.86,-38.88,
461,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,
466,Matamoros,MX,86.0,clear sky,25.53,-103.25,
468,Puerto Narino,CO,77.0,broken clouds,-3.77,-70.38,
474,Idenao,CM,75.2,scattered clouds,4.25,9.0,
475,Madhupur,IN,80.94,clear sky,24.25,86.65,
476,Conceicao Da Barra,BR,75.99,overcast clouds,-18.59,-39.73,
477,Biak,ID,85.73,overcast clouds,-0.91,122.88,
478,Hervey Bay,AU,80.01,few clouds,-25.3,152.85,
480,Lazaro Cardenas,MX,79.57,few clouds,17.96,-102.2,
481,Krabi,TH,84.2,broken clouds,8.07,98.91,
484,Saint-Joseph,RE,77.0,clear sky,-21.37,55.62,
488,Basco,PH,81.3,overcast clouds,20.45,121.97,
489,Sao Jose Da Coroa Grande,BR,75.65,overcast clouds,-8.9,-35.15,
494,Sorong,ID,84.36,light rain,-0.88,131.25,
496,Kahului,US,82.4,clear sky,20.89,-156.47,
497,Mocajuba,BR,77.14,overcast clouds,-2.58,-49.51,
498,Alofi,NU,77.0,broken clouds,-19.06,-169.92,
500,Playa Del Carmen,MX,80.01,overcast clouds,20.63,-87.08,
501,Santa Marta,CO,84.0,clear sky,11.24,-74.2,
503,Mozarlandia,BR,75.52,light rain,-14.74,-50.57,
511,Poum,NC,77.34,overcast clouds,-20.23,164.02,
512,Mandera,KE,78.3,light rain,3.94,41.87,
513,Caravelas,BR,76.66,overcast clouds,-17.71,-39.25,
515,Umm Kaddadah,SD,79.02,clear sky,13.6,26.69,
519,Lao Cai,VN,86.74,overcast clouds,22.48,103.95,
520,Road Town,VG,81.0,clear sky,18.42,-64.62,
528,Vanimo,PG,83.88,light rain,-2.67,141.3,
529,Celestun,MX,79.63,moderate rain,20.87,-90.4,
531,Kushalgarh,IN,80.65,clear sky,23.2,74.45,
534,Lodwar,KE,81.86,clear sky,3.12,35.6,
535,Gamba,GA,75.97,moderate rain,-2.65,10.0,
537,Santarem,BR,77.0,few clouds,-2.44,-54.71,
542,Conde,BR,77.0,scattered clouds,-7.26,-34.91,
545,Kampot,KH,84.2,scattered clouds,10.62,104.18,
554,Mogadishu,SO,80.55,light rain,2.04,45.34,
556,Ati,TD,78.87,few clouds,13.22,18.34,
558,Santa Isabel Do Rio Negro,BR,75.92,moderate rain,-0.41,-65.02,
560,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,
566,Kasganj,IN,77.94,clear sky,27.82,78.65,
575,Robertsport,LR,78.69,light rain,6.75,-11.37,
588,Tezu,IN,83.5,clear sky,27.92,96.17,
593,Mackay,AU,86.0,scattered clouds,-21.15,149.2,
596,Kalianget,ID,86.23,scattered clouds,-7.05,113.93,
598,Nabire,ID,86.23,light rain,-3.37,135.48,
606,Ariquemes,BR,75.36,scattered clouds,-9.91,-63.04,
607,Itamaraju,BR,75.09,overcast clouds,-17.04,-39.53,
608,Guilin,CN,80.6,few clouds,25.28,110.29,
610,Larap,PH,86.61,clear sky,14.3,122.65,
611,Naze,JP,80.6,broken clouds,28.37,129.48,
614,Alenquer,BR,77.0,few clouds,-1.94,-54.74,
615,Le Lorrain,MQ,78.8,broken clouds,14.83,-61.06,
634,Angul,IN,79.27,clear sky,20.85,85.1,
637,Ouegoa,NC,79.7,overcast clouds,-20.35,164.43,
642,Bundaberg,AU,81.0,thunderstorm,-24.85,152.35,
648,Mae Sai,TH,86.0,few clouds,20.43,99.88,
651,Almeirim,BR,79.65,light rain,-1.52,-52.58,
657,Dong Hoi,VN,76.23,heavy intensity rain,17.48,106.6,
662,Sola,VU,80.65,clear sky,-13.88,167.55,
666,Khanpur,PK,82.98,clear sky,28.65,70.66,
670,Pochutla,MX,77.0,broken clouds,15.74,-96.47,
673,Kendari,ID,89.35,clear sky,-3.94,122.5,
677,Waingapu,ID,88.45,overcast clouds,-9.66,120.26,
682,Monrovia,LR,75.2,mist,6.3,-10.8,
683,Meulaboh,ID,86.02,broken clouds,4.14,96.13,
684,Ocho Rios,JM,75.99,moderate rain,18.4,-77.1,
689,Kerema,PG,82.15,broken clouds,-7.96,145.78,
690,Anse-Bertrand,GP,75.2,few clouds,16.47,-61.51,
