City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Ketchikan,US,55.34,-131.65,46.4,100,90,1.32,overcast clouds
83,San Quintin,MX,30.48,-115.95,60.85,54,0,1.19,clear sky
84,Garrel,DE,52.95,8.02,51.01,95,97,5.01,overcast clouds
85,Asfi,MA,32.3,-9.24,60.62,70,0,15.88,clear sky
86,Upernavik,GL,72.79,-56.15,15.17,78,0,5.82,clear sky
87,Enid,US,36.4,-97.88,32.0,100,90,9.06,mist
88,Emerald,AU,-23.53,148.17,89.6,40,28,12.75,scattered clouds
89,Lebu,CL,-37.62,-73.65,50.92,88,100,12.33,light rain
90,Chuy,UY,-33.7,-53.46,62.11,97,100,8.48,overcast clouds
91,Egvekinot,RU,66.32,-179.17,16.61,92,34,6.26,scattered clouds
92,Port Hedland,AU,-20.32,118.57,86.0,55,24,13.87,few clouds
93,Pangnirtung,CA,66.15,-65.71,8.35,76,0,4.03,clear sky
94,Cabo San Lucas,MX,22.89,-109.91,73.4,69,40,5.82,scattered clouds
95,Margate,GB,51.38,1.39,51.01,81,83,4.0,broken clouds
96,Lazo,RU,43.38,133.9,50.41,55,75,5.44,broken clouds
97,Avera,US,33.19,-82.53,71.6,100,90,3.36,overcast clouds
98,Luderitz,NA,-26.65,15.16,55.47,81,0,9.75,clear sky
99,Krutinka,RU,56.01,71.51,23.45,95,94,19.42,overcast clouds
100,Pacifica,US,37.61,-122.49,64.4,36,20,9.17,few clouds
101,Praya,CV,14.92,-23.51,75.2,88,91,12.75,overcast clouds
102,Qandala,SO,11.47,49.87,78.98,56,6,1.92,clear sky
103,General Roca,AR,-39.03,-67.58,55.4,37,0,3.36,clear sky
104,Vaini,TO,-21.2,-175.2,78.8,74,20,9.17,few clouds
105,Dingle,PH,11.0,122.67,88.18,67,15,1.23,few clouds
106,Olbia,IT,40.92,9.49,53.6,81,0,11.41,clear sky
107,Georgetown,MY,5.41,100.34,87.8,74,20,5.82,few clouds
108,Saint George,US,37.1,-113.58,55.4,15,1,24.16,clear sky
109,Jiwani,PK,25.05,61.74,76.87,53,0,6.24,clear sky
110,Urusha,RU,54.05,122.9,24.64,88,97,5.91,overcast clouds
111,San Patricio,US,28.02,-97.52,55.4,93,90,18.34,overcast clouds
112,Chiang Rai,TH,19.92,99.92,86.0,69,20,9.17,few clouds
113,Port Alfred,ZA,-33.59,26.89,63.34,83,54,11.34,broken clouds
114,Farcasele,RO,44.15,24.43,54.0,93,90,5.82,mist
115,Paamiut,GL,61.99,-49.67,28.09,85,100,17.65,overcast clouds
116,New Norfolk,AU,-42.78,147.06,62.01,57,91,3.0,overcast clouds
117,Hobyo,SO,5.35,48.53,79.97,75,4,6.38,clear sky
118,Barrow,US,71.29,-156.79,28.4,74,75,23.04,broken clouds
119,Yellowknife,CA,62.46,-114.35,14.0,72,40,6.93,scattered clouds
120,Turayf,SA,31.67,38.66,66.2,24,0,18.34,clear sky
121,Batagay-Alyta,RU,67.8,130.41,4.23,83,0,2.04,clear sky
122,Sarh,TD,9.14,18.39,75.2,88,0,2.15,clear sky
123,Cape Town,ZA,-33.93,18.42,60.01,87,75,10.29,broken clouds
124,Yumen,CN,40.28,97.2,51.12,41,23,7.99,few clouds
125,Namibe,AO,-15.2,12.15,69.31,85,2,5.26,clear sky
126,Warmbad,NA,-28.45,18.73,54.07,40,8,0.45,clear sky
127,Khatanga,RU,71.97,102.5,-5.57,90,28,9.37,scattered clouds
128,Nikolskoye,RU,59.7,30.79,52.0,87,90,11.18,overcast clouds
129,Kulhudhuffushi,MV,6.62,73.07,82.8,72,6,6.96,clear sky
130,Port Blair,IN,11.67,92.75,84.09,69,96,3.71,light rain
131,Axim,GH,4.87,-2.24,77.88,87,76,7.0,light rain
132,Honningsvag,NO,70.98,25.97,37.4,86,75,12.75,broken clouds
133,Bolshaya Dzhalga,RU,45.97,42.7,49.41,77,68,15.35,light rain
134,Sambava,MG,-14.27,50.17,75.51,73,2,7.7,clear sky
135,Alice Springs,AU,-23.7,133.88,87.8,9,0,9.17,"sand,dust whirls"
136,Lorengau,PG,-2.02,147.27,85.82,65,62,1.68,broken clouds
137,Hermanus,ZA,-34.42,19.23,57.99,89,99,1.99,light rain
138,Kozhva,RU,65.11,57.05,32.38,97,100,10.74,light rain
139,Bredasdorp,ZA,-34.53,20.04,59.0,87,100,3.36,overcast clouds
140,Sol-Iletsk,RU,51.16,54.99,30.74,91,100,5.03,overcast clouds
141,Norman Wells,CA,65.28,-126.83,1.4,91,75,1.54,broken clouds
142,Manavalakurichi,IN,8.13,77.3,85.84,63,58,1.5,light rain
143,Mataura,NZ,-46.19,168.86,54.0,79,99,11.99,overcast clouds
144,Ust-Nera,RU,64.57,143.2,13.42,81,90,2.51,overcast clouds
145,Antofagasta,CL,-23.65,-70.4,57.2,87,40,8.05,scattered clouds
146,Alto Araguaia,BR,-17.31,-53.22,71.6,87,7,4.23,clear sky
147,Port Lincoln,AU,-34.73,135.87,66.29,56,0,6.69,clear sky
148,Ancud,CL,-41.87,-73.82,46.99,93,40,3.36,scattered clouds
149,Escalerillas,MX,22.13,-101.07,64.4,52,5,2.37,clear sky
150,Asyut,EG,27.18,31.18,66.2,88,0,11.41,clear sky
151,Dikson,RU,73.51,80.55,3.99,94,97,18.63,overcast clouds
152,Reforma,MX,18.1,-91.02,72.43,91,81,2.3,broken clouds
153,Kenai,US,60.55,-151.26,30.2,86,1,3.58,clear sky
154,Zhuhai,CN,22.28,113.57,80.6,78,20,9.17,light rain
